Artist,Album Title,Label,Year,Country/Region
Compilation,African Odyssey Vol.2,Music of The World,1993,Pan Africa
African Troubandours,The Best of African Singer/Songwriters,Shanchie,1997,Pan Africa
Compilation,Africa Calling,Rhino,2005,Pan Africa
Sola Akingbola,Roots to Roots,Arc Music,2007,Nigeria
Saka Acquaye and His African Ensemble,High Life and Other Popular Music,Nonesuch,2002,Ghana
Compilation,Singing In An Open Space: Zulu Rhythm and Harmony 1962 - 1982,Rounder Records,1992,South Africa
Modou Toure and Ramon Goose,The West African Blues Project,Arc Records,2015,Africa
Stephan Riggers Talking Drums,Different Colors,TCD,1999,Pan Africa
Maicre Sylla,Massa,Empreinte Diotale,2007,Guinea
Compilation,Songs Of The African Coast,Yarngo Music,2007,Liberia
Compilation,Smooth Africa II,Heads Up,2003,Pan Africa
Compilation,Stars of Afro-Pop,Arc Music,2002,Pan Africa
Umoya,Tribal Beatz of Africa,Arc Music,2006,Pan Africa
Compilation,Rough Guide to African Music For Children,World Music Network,2023,Pan Africa
Maicre Sylla,Mariama,Misslin Pam,1997,Pan Africa
Compilation,,,,
